year,Developed,pct,lo,hi,n
2024,Developed,61.39705882352941,55.49098532483669,66.9856939477675,272
2024,Developing,66.42857142857143,58.260011129827035,73.71964228660653,140
2025,Developed,75.75757575757575,70.24259596908077,80.53371050670083,264
2025,Developing,67.24137931034483,59.961077703753354,73.77683717721602,174
2026,Developed,79.37743190661479,74.01578110065891,83.8737893237265,257
2026,Developing,70.89201877934272,64.4644003530577,76.57941132577535,213
