year,pct,lo,hi,n
2023,51.12359550561798,43.83437979723606,58.36533858708699,178
2024,62.8158844765343,56.985491358979125,68.29567627849944,277
2025,75.49407114624506,69.8387024726751,80.38683377537173,253
2026,76.19047619047619,70.29787627790583,81.22624582882395,231
