family,claim,pct,lo,hi,n,item,pct1,n1,pct2,n2,diff,diff_lo,diff_hi,chisq,p,p_holm,sig
Q36 dev/developing,Mis/disinformation,NA,NA,NA,NA,Mis/disinformation,84.50704225352112,213,64.2023346303502,257,20.304707623170927,-27.918242280174137,-12.691172966167713,24.596593126684315,7.067657622882684e-7,4.240594573729611e-6,*
Q36 dev/developing,Dominance of a few social media platforms,NA,NA,NA,NA,Dominance of a few social media platforms,68.07511737089202,213,60.70038910505836,257,7.374728265833664,-16.026442600299802,1.2769860686324728,2.7507392841042915,0.09720947212176836,0.19441894424353673,
Q36 dev/developing,Lack of platform accountability,NA,NA,NA,NA,Lack of platform accountability,79.81220657276995,213,75.87548638132296,257,3.9367201914469963,-11.447981496041407,3.5745411131474154,1.040393227894871,0.30773003514531344,0.30773003514531344,
Q36 dev/developing,Filter bubbles & echo chambers,NA,NA,NA,NA,Filter bubbles & echo chambers,60.563380281690144,213,46.69260700389105,257,13.870773277799087,-22.83067715086316,-4.910869404735014,8.995396482620869,0.00270660546431347,0.01082642185725388,*
Q43 dev/developing,Speed of finding relevant answers,NA,NA,NA,NA,Speed of finding relevant answers,76.52582159624413,213,80.93385214007782,257,-4.408030543833686,-3.039311717491569,11.85537280515894,1.361101995716526,0.243346587410194,0.486693174820388,
Q43 dev/developing,Accuracy of information encountered,NA,NA,NA,NA,Accuracy of information encountered,43.1924882629108,213,33.463035019455255,257,9.729453243455549,-18.534700513590156,-0.9242059733209393,4.685809209651143,0.03041273596046321,0.09123820788138963,
Q43 dev/developing,Diversity of viewpoints encountered,NA,NA,NA,NA,Diversity of viewpoints encountered,36.15023474178404,213,24.124513618677042,257,12.025721123106994,-20.33165768259457,-3.719784563619419,8.087048493143575,0.0044582709105158245,0.01878544967236179,*
Q43 dev/developing,Accuracy of conclusions drawn,NA,NA,NA,NA,Accuracy of conclusions drawn,38.967136150234744,213,38.91050583657587,257,0.056630313658867504,-8.91226985160113,8.799009224283393,1.5709976390583186e-4,0.9899996210672402,0.9899996210672402,
Q43 dev/developing,Number of visits to news websites,NA,NA,NA,NA,Number of visits to news websites,32.394366197183096,213,20.622568093385215,257,11.771798103797886,-19.769653266717363,-3.7739429408784124,8.397637431932017,0.003757089934472358,0.01878544967236179,*
Q46 dev/developing,Search engines,NA,NA,NA,NA,Search engines,76.99530516431925,213,82.87937743190662,257,-5.884072267587371,-1.4066083084704084,13.174752843645148,2.5406350314402,0.11095015523232107,0.27072901912121866,
Q46 dev/developing,Recommender systems,NA,NA,NA,NA,Recommender systems,34.27230046948357,213,35.01945525291829,257,-0.747154783434717,-7.892303720447077,9.38661328731651,0.028701577510372438,0.8654699117147765,0.8654699117147765,
Q46 dev/developing,Generative AI,NA,NA,NA,NA,Generative AI,45.070422535211264,213,37.35408560311284,257,7.716336932098428,-16.639744124352223,1.2070702601553671,2.8700332330179057,0.09024300637373955,0.27072901912121866,
Q46 dev/developing,Social media,NA,NA,NA,NA,Social media,50.23474178403756,213,40.46692607003891,257,9.767815713998651,-18.773170977540005,-0.7624604504572974,4.491829675326695,0.03405720839506022,0.13622883358024088,
Q21 dev/developing,AI-generated text,NA,NA,NA,NA,AI-generated text,47.88732394366197,213,52.91828793774319,257,-5.0309639940812225,-4.038105774398897,14.100033762561342,1.1793645274302473,0.2774854031036596,0.8812898567435188,
Q21 dev/developing,AI-generated images,NA,NA,NA,NA,AI-generated images,61.032863849765256,213,65.36964980544747,257,-4.33678595568221,-4.422756261103478,13.096328172467897,0.9440648965254996,0.3312346421606411,0.8812898567435188,
Q21 dev/developing,AI-generated voices,NA,NA,NA,NA,AI-generated voices,59.624413145539904,213,61.86770428015564,257,-2.2432911346157436,-6.626885557033105,11.113467826264593,0.24603563226946273,0.6198804483418685,0.8812898567435188,
Q21 dev/developing,AI-generated videos,NA,NA,NA,NA,AI-generated videos,64.31924882629107,213,69.64980544747081,257,-5.330556621179738,-3.212658616017398,13.873771858376877,1.502269682657233,0.2203224641858797,0.8812898567435188,
