year,pct,lo,hi,n
2023,53.04054054054054,47.35250149188499,58.650671008274166,296
2024,63.10679611650486,58.34651483814884,67.62492156126231,412
2025,72.3744292237443,68.00606660391033,76.35373623648807,438
2026,75.53191489361703,71.44863089397353,79.20122161097964,470
